relative_index,rx,ry,rz,vx,vy,vz,is_correct
62,0.0057,0.0019,-0.18333333333333332,0.0,0.0,1.0,True
63,0.006900000000000001,-0.0011,-0.18333333333333332,0.0,0.0,1.0,True
64,0.0051,-0.006900000000000001,-0.18333333333333332,0.0,0.0,1.0,True
65,0.0085,-0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
66,0.0021,0.0061,-0.18333333333333332,0.0,0.0,1.0,True
67,-0.0032999999999999995,-0.007300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
68,-0.0045000000000000005,0.0065000000000000014,-0.18333333333333332,0.0,0.0,1.0,True
69,0.0026999999999999997,-0.0007000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
70,-0.0065000000000000014,-0.0038999999999999994,-0.18333333333333332,0.0,0.0,1.0,True
71,-0.0026999999999999997,0.0070999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
72,-0.004300000000000001,-0.0061,-0.18333333333333332,0.0,0.0,1.0,True
73,0.0019,0.0032999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
74,0.0091,-0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
75,-0.0032999999999999995,0.007700000000000001,-0.18333333333333332,0.0,0.0,1.0,True
76,-0.009899999999999999,0.0001,-0.18333333333333332,0.0,0.0,1.0,True
77,-0.0005,0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
78,0.0007000000000000001,-0.0005,-0.18333333333333332,0.0,0.0,1.0,True
79,-0.0025,0.006900000000000001,-0.18333333333333332,0.0,0.0,1.0,True
80,-0.0045000000000000005,-0.0035,-0.18333333333333332,0.0,0.0,1.0,True
81,0.00030000000000000003,0.0017000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
82,0.0037,-0.0013000000000000002,-0.18333333333333332,0.0,0.0,1.0,True
83,-0.00030000000000000003,0.0029,-0.18333333333333332,0.0,0.0,1.0,True
84,0.0015000000000000002,0.0051,-0.18333333333333332,0.0,0.0,1.0,True
85,0.0026999999999999997,-0.0007000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
86,0.0025,0.0061,-0.18333333333333332,0.0,0.0,1.0,True
87,0.0031,0.0007000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
88,-0.0045000000000000005,-0.0035,-0.18333333333333332,0.0,0.0,1.0,True
89,0.0031,-0.0083,-0.18333333333333332,0.0,0.0,1.0,True
90,0.007700000000000001,0.004900000000000001,-0.18333333333333332,0.0,0.0,1.0,True
91,-0.00030000000000000003,-0.0005,-0.18333333333333332,0.0,0.0,1.0,True
92,0.007500000000000001,-0.0038999999999999994,-0.18333333333333332,0.0,0.0,1.0,True
93,0.0031,0.0005,-0.18333333333333332,0.0,0.0,1.0,True
94,-0.0032999999999999995,-0.0037,-0.18333333333333332,0.0,0.0,1.0,True
95,0.0029,0.006900000000000001,-0.18333333333333332,0.0,0.0,1.0,True
96,-0.0037,0.0005,-0.18333333333333332,0.0,0.0,1.0,True
97,0.0041,-0.0013000000000000002,-0.18333333333333332,0.0,0.0,1.0,True
98,0.0015000000000000002,-0.0021,-0.18333333333333332,0.0,0.0,1.0,True
99,-0.0011,-0.0037,-0.18333333333333332,0.0,0.0,1.0,True
100,-0.0005,-0.004300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
101,0.004900000000000001,-0.006300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
102,-0.0057,-0.006300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
103,-0.0032999999999999995,-0.0079,-0.18333333333333332,0.0,0.0,1.0,True
104,0.006900000000000001,-0.0032999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
105,0.0011,0.0011,-0.18333333333333332,0.0,0.0,1.0,True
106,0.0025,-0.0081,-0.18333333333333332,0.0,0.0,1.0,True
107,-0.0035,-0.0037,-0.18333333333333332,0.0,0.0,1.0,True
108,0.0009000000000000001,-0.0065000000000000014,-0.18333333333333332,0.0,0.0,1.0,True
109,-0.006300000000000001,-0.0019,-0.18333333333333332,0.0,0.0,1.0,True
110,-0.0035,0.0087,-0.18333333333333332,0.0,0.0,1.0,True
111,-0.0035,0.0091,-0.18333333333333332,0.0,0.0,1.0,True
112,0.006900000000000001,0.0011,-0.18333333333333332,0.0,0.0,1.0,True
113,-0.0081,-0.0011,-0.18333333333333332,0.0,0.0,1.0,True
114,0.0055000000000000005,-0.007700000000000001,-0.18333333333333332,0.0,0.0,1.0,True
115,0.006300000000000001,0.0035,-0.18333333333333332,0.0,0.0,1.0,True
116,-0.0009000000000000001,-0.007300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
117,0.0007000000000000001,-0.007700000000000001,-0.18333333333333332,0.0,0.0,1.0,True
118,-0.0005,0.0057,-0.18333333333333332,0.0,0.0,1.0,True
119,0.0017000000000000001,0.0011,-0.18333333333333332,0.0,0.0,1.0,True
120,-0.006900000000000001,0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
121,0.004900000000000001,-0.0057,-0.18333333333333332,0.0,0.0,1.0,True
122,0.0091,0.0025,-0.18333333333333332,0.0,0.0,1.0,True
123,0.0038999999999999994,0.0070999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
124,-0.0001,0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
125,-0.0081,-0.0051,-0.18333333333333332,0.0,0.0,1.0,True
126,-0.007700000000000001,-0.0025,-0.18333333333333332,0.0,0.0,1.0,True
127,-0.0061,0.0001,-0.18333333333333332,0.0,0.0,1.0,True
128,-0.0031,0.0031,-0.18333333333333332,0.0,0.0,1.0,True
129,-0.0047,-0.0057,-0.18333333333333332,0.0,0.0,1.0,True
130,-0.0067,0.0057,-0.18333333333333332,0.0,0.0,1.0,True
131,0.0035,0.0001,-0.18333333333333332,0.0,0.0,1.0,True
132,0.0017000000000000001,-0.0067,-0.18333333333333332,0.0,0.0,1.0,True
133,-0.0047,-0.0055000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
134,-0.0001,0.0005,-0.18333333333333332,0.0,0.0,1.0,True
