relative_index,rx,ry,rz,vx,vy,vz,is_correct,real_particle
36,-0.001025,0.006675,5.0,-0.0009499995523127858,0.0001999999057500667,-0.9999995287503332,True,mu
37,-0.011058333333333337,-0.002825,5.0,-0.000437499693465566,-0.0010999992292273723,0.9999992992976114,True,anti-mu
38,0.003975,0.011125000000000001,5.0,-0.00027499993589108495,0.0006249998542969257,0.9999997668750816,True,anti-mu
39,0.011675,0.002075,5.0,-0.000799999548000363,0.0006999996045003351,-0.9999994350004788,True,mu
40,-0.002125,-0.006841666666666667,5.0,-4.999999974608649e-05,8.749999956022128e-05,-0.999999994921875,True,anti-mu
41,0.00022500000000000002,0.008425000000000002,5.0,-0.00019999991043739834,-0.0009249995857737158,-0.9999995521878008,True,mu
42,0.015775,0.0006583333333333334,5.0,-0.0014999982701983103,0.00023749972612710133,-0.9999988467988697,True,anti-mu
43,-0.013475,0.0036916666666666673,5.0,-0.0012499989717789097,0.00028749976352405483,0.9999991774228901,True,mu
44,0.009541666666666669,-0.008241666666666668,5.0,-3.7499972473825264e-05,0.0012124991079313233,-0.9999992642195623,True,mu
45,-0.009158333333333336,0.004325,5.0,-0.0010874991925035975,-0.0005499995915824861,0.999999257422702,True,mu
46,-0.008275,0.0017749999999999999,5.0,-0.0012499990199227313,-7.499994119538162e-05,0.9999992159384219,True,anti-mu
47,-0.006675,0.004725,5.0,-0.0003499998734529663,-0.0007749997197892144,-0.9999996384376959,True,anti-mu
48,-0.006441666666666668,-0.007925,5.0,-0.0013124988630141253,9.999991336730013e-05,0.9999991336730009,True,mu
49,0.003408333333333334,-0.007425000000000001,5.0,-0.0007624997316755668,-0.00034999987681647135,-0.9999996480470609,True,mu
50,0.003575,-0.010725,5.0,-0.000149999950312174,-0.0007999997350001314,0.9999996687501643,True,anti-mu
51,0.007425,-0.012025000000000001,5.0,-0.00022499981852397438,0.001249998991798095,-0.9999991934384759,True,mu
52,0.006175,-0.0035250000000000004,5.0,-0.0012749989632669934,-2.499997967189975e-05,-0.9999991868759918,True,mu
53,-0.0026083333333333336,0.005125,5.0,-1.2499995999901058e-05,-0.0007999997439376229,0.9999996799220285,True,mu
54,0.001025,-0.006474999999999999,5.0,-0.0012749989441420697,-0.00017499985507830505,-0.9999991718760287,True,anti-mu
55,0.0039250000000000005,-0.003991666666666667,5.0,-2.499997416194332e-05,0.0014374985143984615,-0.9999989664859771,True,mu
56,0.002341666666666667,0.0011749999999999998,5.0,-6.249992956852931e-05,0.00149999830957317,-0.99999887304878,True,anti-mu
57,-0.005274999999999999,0.0013416666666666666,5.0,-0.00032499974393607195,-0.0012124990447468973,-0.9999992121103063,True,mu
58,0.010858333333333333,0.00032500000000000004,5.0,-0.0007874996367450529,0.0005499997462697067,-0.9999995386721939,True,anti-mu
59,0.008225000000000001,0.0019083333333333333,5.0,-7.499999415794266e-05,-0.00038749996983756846,0.9999999221093839,True,mu
60,0.004725,-0.0009750000000000001,5.0,-0.0004499999184377491,0.00039999992750001977,-0.9999998187500493,True,mu
61,4.1666666666666665e-05,0.011091666666666668,5.0,-3.7499979738760926e-05,0.0010374994409373004,0.9999994610941855,True,mu
62,0.007975000000000001,0.0055916666666666675,5.0,-0.00047499981723642115,-0.0007374997162739269,-0.999999615234597,True,anti-mu
63,0.010475,0.0027749999999999997,5.0,-0.0006999996182812661,-0.000774999577383158,-0.9999994546879458,True,anti-mu
64,0.006675,-0.010475000000000003,5.0,-0.00029999991300022627,0.0006999997970000883,-0.9999997100001262,True,anti-mu
65,0.0027749999999999997,-0.007625,5.0,-0.0011499986929557342,-0.0009749988918534522,0.9999988634394378,True,anti-mu
66,0.001325,0.0019249999999999998,5.0,-0.0001749999377652633,-0.0008249997066095312,0.9999996443751893,True,mu
67,-0.0005416666666666666,-0.007825,5.0,-0.0005374999196969782,9.999998505469113e-05,-0.9999998505469087,True,anti-mu
68,-0.007591666666666668,0.008175000000000002,5.0,-0.0006124998527930704,0.0003249999218730753,0.9999997596094619,True,mu
69,0.007658333333333334,0.0013750000000000001,5.0,-0.0009874994395682477,-0.00039999977296894314,-0.9999994324223581,True,mu
70,-0.0009583333333333333,-0.008875000000000001,5.0,-0.0011124987828284678,0.0009749989332146414,-0.9999989058611706,True,mu
71,-0.0024916666666666668,0.001075,5.0,-3.749997297556581e-05,0.001199999135157185,-0.999999279297654,True,mu
72,-0.008675,-0.005025000000000001,5.0,-0.0008999996174999801,0.0001999999150000542,0.9999995750002706,True,mu
73,0.003975,0.000725,5.0,-0.00039999991287487097,0.0005249998856484749,-0.9999997821875709,True,mu
74,0.010525000000000001,-0.005191666666666667,5.0,-0.00027499995348634343,0.0005124999133421446,-0.9999998308594179,True,anti-mu
75,-0.00030833333333333337,0.011025000000000002,5.0,-0.0005874997745319237,-0.0006499997505118624,-0.999999616172096,True,anti-mu
76,-0.007241666666666667,0.003708333333333333,5.0,-0.0005124998026715751,-0.0007124997256401326,-0.9999996148439727,True,anti-mu
77,0.004725,0.006925000000000001,5.0,-0.0010499990638606072,-0.0008249992644619213,-0.9999991084386923,True,anti-mu
78,0.004375,-0.0063416666666666665,5.0,-0.0007499992822861401,0.0011624988876041357,-0.9999990430482485,True,mu
