,rx,ry,rz,vx,vy,vz,is_correct
950,0.160775,-0.004925,14.0,-0.02748959866662659,0.0007996974157564113,-0.9996217696955139,True
951,0.15359166666666668,-0.011158333333333334,14.0,-0.023555949203877272,0.0010372115552333783,-0.9997219820776645,True
952,0.16774166666666668,0.0031749999999999994,14.0,-0.028850480877099394,-0.0005747605544727046,-0.999583572996008,True
953,0.133575,0.021108333333333337,14.0,-0.023718312947279108,-0.00103720757361783,-0.9997181431940625,True
954,0.16214166666666666,0.01819166666666667,14.0,-0.026253439152638378,-0.0008122196800521742,-0.9996549890996642,True
955,0.12239166666666668,0.001425,14.0,-0.01783466274152487,0.00014997614077586212,-0.9998409385057471,True
956,0.17432499999999998,0.008341666666666667,14.0,-0.026215981997739012,-0.0005872979761476851,-0.9996561295610515,True
957,0.15070833333333333,0.010975000000000004,14.0,-0.02552917387618705,-0.0004748451332572752,-0.9996739647521581,True
958,0.12712500000000002,-0.0030916666666666666,14.0,-0.020795500442845505,0.00038741617413567796,-0.9997836751367967,True
959,0.11980833333333334,0.012225000000000001,14.0,-0.02183229441605254,-0.00022494636489324015,-0.9997616217477361,True
960,0.130825,-0.007625000000000001,14.0,-0.022594230445554083,0.00012496808874753483,-0.9997447099802776,True
961,0.11627499999999998,0.014441666666666667,14.0,-0.020120920298095972,-0.0007373504954344655,-0.9997972818929866,True
962,0.095925,-0.00035833333333333333,14.0,-0.017197456328284504,3.749445420606182e-05,-0.999852112109587,True
963,0.163575,0.0028083333333333333,14.0,-0.02773932144361423,-8.746632888081414e-05,-0.9996151871572824,True
964,0.124175,0.0043749999999999995,14.0,-0.01887163826399152,-0.00019996437895620099,-0.9998218947810056,True
965,0.150925,-0.012575000000000001,14.0,-0.023993076477100805,0.001099682671867123,-0.9997115198792025,True
966,0.094925,0.010608333333333336,14.0,-0.017272421272917397,-0.00043743469217335346,-0.9998507249156051,True
967,0.15634166666666666,0.009808333333333336,14.0,-0.02418042683652226,-0.0002874159249637509,-0.9997075694172217,True
968,0.14355833333333334,0.019708333333333338,14.0,-0.022806536753921157,-0.0016120784895406661,-0.999738597376452,True
969,0.134525,-0.0077416666666666675,14.0,-0.02451762451274397,0.0005123458741461935,-0.999699266574682,True
970,0.12024166666666665,-0.013241666666666665,14.0,-0.01980860244464282,0.001012300819966179,-0.9998032779083295,True
971,0.12825833333333334,0.007958333333333333,14.0,-0.02100785882411333,-0.0006123647139907577,-0.999779123045227,True
972,0.13347499999999998,-0.0045916666666666675,14.0,-0.022269475856111054,-6.248450016069108e-05,-0.9997520025190153,True
973,0.155275,-0.003525,14.0,-0.02639080018713092,0.0005997909133438783,-0.9996515222397971,True
974,0.096125,0.0017916666666666669,14.0,-0.01799708470699124,1.2497975491616848e-05,-0.9998380392772872,True
975,0.106825,0.0014416666666666668,14.0,-0.017222445125400165,0.00011248331359700402,-0.9998516763657531,True
976,0.10390833333333332,0.007175000000000001,14.0,-0.019933537163927838,-0.000374925463878807,-0.9998012370101523,True
977,0.13244166666666665,0.007825,14.0,-0.021957197166977784,-0.0008497947679435183,-0.9997585505217862,True
978,0.15434166666666668,-0.025374999999999998,14.0,-0.025753928755615198,0.001424525899071966,-0.9996672975943615,True
979,0.12797499999999998,0.015308333333333335,14.0,-0.02134512371484365,-0.001062257327784641,-0.9997716025687905,True
980,0.14180833333333334,-0.014725000000000002,14.0,-0.021782326031775903,0.0006498456417632682,-0.9997625257896435,True
981,0.12990833333333332,0.0005416666666666668,14.0,-0.023431061309018366,0.0005873386046983329,-0.9997252824647859,True
982,0.09917500000000001,-0.005925,14.0,-0.018296931718871926,0.0007248784424143186,-0.9998323343645769,True
983,0.11312499999999999,0.003975,14.0,-0.01844685945892733,-0.00034994042334007483,-0.9998297809716429,True
984,0.13970833333333332,-0.007175000000000001,14.0,-0.02438024057592876,0.0009247246553177041,-0.9997023300731931,True
985,0.187025,0.0062250000000000005,14.0,-0.030510787752481956,0.00024988360157642757,-0.9995344063057103,True
986,0.13217500000000001,0.005825,14.0,-0.021969695988506066,7.498189757169281e-05,-0.9997586342892406,True
